book_id,genres,image_url,isbn,page_num,pub_year,rating,title,writer
0,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1293821561M/9266810.JPG,62310712,121,2011,4,TEN THINGS WE DID (AND PROBABLY SHOULDN'T HAVE),SARAH MLYNOWSKI
1,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1478780633M/6571723.JPG,375414959,104,2009,4,"THE MORGANVILLE VAMPIRES, VOLUME 1 (THE MORGANVILLE VAMPIRES, #1-2)",RACHEL CAINE
2,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320557161M/120230.JPG,62265423,104,2006,4,BAREFOOT CONTESSA AT HOME: EVERYDAY RECIPES YOU'LL MAKE OVER AND OVER AGAIN,"INA GARTEN, QUENTIN BACON"
3,10,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320388198M/8447255.JPG,46948,125,2011,4,"THE CRIPPLED GOD (THE MALAZAN BOOK OF THE FALLEN, #10)",STEVEN ERIKSON
4,5,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344397557M/10915.JPG,743418719,155,2001,4,SALEM FALLS,JODI PICOULT
5,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1415353706M/17835773.JPG,553447432,111,2013,4,"MISBEHAVING (SEA BREEZE, #6)",ABBI GLINES
6,3,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1431005856M/14280.JPG,345413997,182,2004,4,RUNAWAY,ALICE MUNRO
7,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1317879553M/784222.JPG,6640613,119,2006,4,"VAMPIRE KNIGHT, VOL. 3 (VAMPIRE KNIGHT, #3)","MATSURI HINO, TOMO KIMURA"
8,5,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1360785361M/194618.JPG,187646,159,1945,4,"ROSS POLDARK (POLDARK, #1)",WINSTON GRAHAM
9,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1345557469M/91478.JPG,451458923,146,2002,4,"SUMMER KNIGHT (THE DRESDEN FILES, #4)",JIM BUTCHER
