,0,genres,image_url,isbn,page_num,pub_year,rating,title,writer
0,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403194704M/8914.JPG,810983559,131,1998,5,THE FIRST WORLD WAR,JOHN KEEGAN
1,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1279214118M/8565083.JPG,224079948,107,2011,5,CINDERELLA ATE MY DAUGHTER: DISPATCHES FROM THE FRONTLINES OF THE NEW GIRLIE-GIRL CULTURE,PEGGY ORENSTEIN
2,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1455373531M/77431.JPG,575113294,160,1977,5,THE MAURITIUS COMMAND,PATRICK O'BRIAN
3,,BIOGRAPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1307445460M/7130616.JPG,385425139,119,2010,5,"BAYOU MOON (THE EDGE, #2)",ILONA ANDREWS
4,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1388278230M/4769651.JPG,140143912,102,2009,5,"THE EVERAFTER WAR (THE SISTERS GRIMM, #7)","MICHAEL BUCKLEY, PETER FERGUSON"
5,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328167619M/4936457.JPG,216614,127,2008,5,THE TIME TRAVELLER'S GUIDE TO MEDIEVAL ENGLAND: A HANDBOOK FOR VISITORS TO THE FOURTEENTH CENTURY,IAN MORTIMER
6,,BIOGRAPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1348037761M/13616278.JPG,140255087,126,2012,5,"THE RED KNIGHT (THE TRAITOR SON CYCLE, #1)",MILES  CAMERON
7,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344396715M/101094.JPG,127531,137,1991,5,THE FAMISHED ROAD,BEN OKRI
8,,TRAVEL,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1330072994M/294081.JPG,385344422,140,1989,5,THE MAMBO KINGS PLAY SONGS OF LOVE,OSCAR HIJUELOS
9,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1334785691M/13489518.JPG,739455834,109,2012,5,"OUT OF THE DARK (THE GREY WOLVES, #4)",QUINN LOFTIS
10,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309211772M/764165.JPG,679750150,139,1978,5,THE SNOW LEOPARD,PETER MATTHIESSEN
11,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1278403940M/8539798.JPG,778325806,116,2009,5,"BLUE EXORCIST, TOME 2",KAZUE KATO
12,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1435195536M/12444298.JPG,553153382,101,2016,5,"FEVERBORN (FEVER, #8)",KAREN MARIE MONING
13,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328407138M/106312.JPG,609805797,158,2005,5,"THE TWELFTH CARD (LINCOLN RHYME, #6)",JEFFERY DEAVER
