,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,writer,isbn,page_num,pub_year,rating,image_url,genres
0,0,0,0,"THE HUNGER GAMES (THE HUNGER GAMES, #1)",SUZANNE COLLINS,439023483,372,2008.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1447303603M/2767052.JPG,PHILOSOPHY
1,1,1,1,"HARRY POTTER AND THE SORCERER'S STONE (HARRY POTTER, #1)","J.K. ROWLING, MARY GRANDPRÉ",439554934,591,1997.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1474154022M/3.JPG,HISTORY
2,2,2,2,"TWILIGHT (TWILIGHT, #1)",STEPHENIE MEYER,316015849,326,2005.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1361039443M/41865.JPG,SCIENCE
3,3,3,3,TO KILL A MOCKINGBIRD,HARPER LEE,61120081,587,1960.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1361975680M/2657.JPG,SCIENCE
4,4,4,4,THE GREAT GATSBY,F. SCOTT FITZGERALD,743273567,1456,1925.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1490528560M/4671.JPG,YOUNGADULT
5,5,5,5,THE FAULT IN OUR STARS,JOHN GREEN,525478817,326,2012.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1360206420M/11870085.JPG,PHILOSOPHY
6,6,6,6,THE HOBBIT,J.R.R. TOLKIEN,618260307,1069,1937.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1372847500M/5907.JPG,CLASSIC
7,7,7,7,THE CATCHER IN THE RYE,J.D. SALINGER,316769177,460,1951.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1398034300M/5107.JPG,CLASSIC
8,8,8,8,"ANGELS & DEMONS  (ROBERT LANGDON, #1)",DAN BROWN,1416524797,411,2000.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1303390735M/960.JPG,HORROR
9,9,9,9,PRIDE AND PREJUDICE,JANE AUSTEN,679783261,3555,1813.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320399351M/1885.JPG,HORROR
10,10,10,10,THE KITE RUNNER,KHALED HOSSEINI,1594480001,383,2003.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1484565687M/77203.JPG,YOUNGADULT
11,11,11,11,"DIVERGENT (DIVERGENT, #1)",VERONICA ROTH,62024035,310,2011.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328559506M/13335037.JPG,TRAVEL
12,12,12,12,1984,"GEORGE ORWELL, ERICH FROMM, CELÂL ÜSTER",451524934,1095,1949.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1348990566M/5470.JPG,CRIME
13,13,13,13,ANIMAL FARM,GEORGE ORWELL,452284244,996,1945.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1424037542M/7613.JPG,YOUNGADULT
14,14,14,14,THE DIARY OF A YOUNG GIRL,"ANNE FRANK, ELEANOR ROOSEVELT, B.M. MOOYAART-DOUBLEDAY",553296981,810,1947.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358276407M/48855.JPG,YOUNGADULT
15,15,15,15,"THE GIRL WITH THE DRAGON TATTOO (MILLENNIUM, #1)","STIEG LARSSON, REG KEELAND",307269752,374,2005.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327868566M/2429135.JPG,PHILOSOPHY
16,16,16,16,"CATCHING FIRE (THE HUNGER GAMES, #2)",SUZANNE COLLINS,439023491,301,2009.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358273780M/6148028.JPG,YOUNGADULT
17,17,17,17,"HARRY POTTER AND THE PRISONER OF AZKABAN (HARRY POTTER, #3)","J.K. ROWLING, MARY GRANDPRÉ, RUFUS BECK",043965548X,476,1999.0,5.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1499277281M/5.JPG,PHILOSOPHY
18,18,18,18,"THE FELLOWSHIP OF THE RING (THE LORD OF THE RINGS, #1)",J.R.R. TOLKIEN,618346252,666,1954.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1298411339M/34.JPG,YOUNGADULT
19,19,19,19,"MOCKINGJAY (THE HUNGER GAMES, #3)",SUZANNE COLLINS,439023513,339,2010.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358275419M/7260188.JPG,YOUNGADULT
20,20,20,20,"HARRY POTTER AND THE ORDER OF THE PHOENIX (HARRY POTTER, #5)","J.K. ROWLING, MARY GRANDPRÉ",439358078,407,2003.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1387141547M/2.JPG,CLASSIC
21,21,21,21,THE LOVELY BONES,ALICE SEBOLD,316166685,283,2002.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1457810586M/12232938.JPG,YOUNGADULT
22,22,22,22,"HARRY POTTER AND THE CHAMBER OF SECRETS (HARRY POTTER, #2)","J.K. ROWLING, MARY GRANDPRÉ",439064864,498,1998.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1474169725M/15881.JPG,TEXTBOOK
